1,jsPath,controllerId,eventId,url,app,sg,so,webControllerJs
44,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'js', 'transaction', 'transaction.js']",FI_1Q_TOPLogic,endYearEntered,,,,,src/com/tmax/fi/js/transaction/transaction.js
45,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'js', 'transaction', 'transaction.js']",TransactionLayout,onWidgetAttach,${FsPo}TRANSACTION/ReadContext?action=SO,FS,TRANSACTION,ReadContextSO,src/com/tmax/fi/js/transaction/transaction.js
46,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'code', 'docaccount', 'DocAccountCode.js']",FI_1Q_TOPLogic,clickDocAccountCodeHelpButton01,,,,,src/com/tmax/fs/js/code/docaccount/DocAccountCode.js
47,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'code', 'docaccount', 'DocAccountCode.js']",FI_1Q_TOPLogic,doubleClickDocAccountCodeHelpTableView,,,,,src/com/tmax/fs/js/code/docaccount/DocAccountCode.js
48,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'code', 'docaccount', 'DocAccountCode.js']",DocAccountCodeHelpDialogLayoutLogic,closeDocAccountCodeHelp,,,,,src/com/tmax/fs/js/code/docaccount/DocAccountCode.js
49,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'code', 'docaccount', 'DocAccountCode.js']",DocAccountCodeHelpDialogLayoutLogic,onAttachCodeHelp,${FsPo}COA/ReadAllDocCoa?action=SO,FS,COA,ReadAllDocCoaSO,src/com/tmax/fs/js/code/docaccount/DocAccountCode.js
50,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'code', 'docaccount', 'DocAccountCode.js']",FI_1Q_TOPLogic,clickDocAccountCodeHelpButton02,,,,,src/com/tmax/fs/js/code/docaccount/DocAccountCode.js
51,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'code', 'docaccount', 'DocAccountCode.js']",FI_1Q_TOPLogic,keyReleasedDocAccountCodeHelpTextField02,,,,,src/com/tmax/fs/js/code/docaccount/DocAccountCode.js
52,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'code', 'docaccount', 'DocAccountCode.js']",FI_1Q_TOPLogic,keyDownDocAccountCodeHelpDialog,,,,,src/com/tmax/fs/js/code/docaccount/DocAccountCode.js
53,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'code', 'docaccount', 'DocAccountCode.js']",FI_1Q_TOPLogic,clickDocAccountCodeHelpTableView,,,,,src/com/tmax/fs/js/code/docaccount/DocAccountCode.js
