1,jsPath,controllerId,eventId,url,app,sg,so
46,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocMove.js']",DocMoveLayoutLogic,readDocument,${FsPo}KH/ReadGeneralDocument?action=SO,http://192.168.156.156:14000/FS/,KH,ReadGeneralDocumentSO
47,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocMove.js']",DocMoveLayoutLogic,changeDate,,,,
48,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocMove.js']",DocMoveLayoutLogic,changeAbstract,,,,
49,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocProduct.js']",DocProductLayoutLogic,updateDocUnitPrice,,,,
50,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocProduct.js']",DocProductLayoutLogic,updateDocQuantity,,,,
51,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocProduct.js']",DocProductLayoutLogic,deleteDocProduct,,,,
52,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocProduct.js']",DocProductLayoutLogic,autoCompleteProductCode,${FsPo}JJ/SearchProduct?action=SO,http://192.168.156.156:14000/FS/,JJ,SearchProductSO
53,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocProduct.js']",DocProductLayoutLogic,updateDocProductVat,,,,
54,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocProduct.js']",DocProductLayoutLogic,onFocusLostDocProductVat,,,,
55,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocProduct.js']",DocProductLayoutLogic,updateDocProductName,,,,
56,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocProduct.js']",DocProductLayoutLogic,success,,,,
57,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocProduct.js']",DocProductLayoutLogic,updateRemark,,,,
58,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocProduct.js']",FI_1Q_TOPLogic,openDocProduct,,,,
59,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocProduct.js']",DocProductLayoutLogic,updateDocProduct,,,,
60,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocProduct.js']",DocProductLayoutLogic,selectAll,,,,
61,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocProduct.js']",FI_1Q_TOPLogic,cancelDocProduct,,,,
62,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocProduct.js']",DocProductLayoutLogic,addProduct,,,,
63,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocProduct.js']",DocProductLayoutLogic,onFocusDocProductVat,,,,
64,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocProduct.js']",DocProductLayoutLogic,error,,,,
65,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Document.js']",DocjlInsertLayoutLogic,error,,,,
66,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Document.js']",DocjlInsertLayoutLogic,success,${FsPo}KH/ReadDocProduct?action=SO,http://192.168.156.156:14000/FS/,KH,ReadDocProductSO
67,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Document.js']",DocjlInsertLayoutLogic,getInputDocJournal,,,,
68,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Document.js']",DocjlInsertLayoutLogic,checknecessaryFields,,,,
69,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Document.js']",DocjlInsertLayoutLogic,getInputDocProduct,,,,
70,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Document.js']",DocjlInsertLayoutLogic,updateDocument,${FsPo}KH/UpdateSalesDoc?action=SO,http://192.168.156.156:14000/FS/,KH,UpdateSalesDocSO
71,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Document.js']",DocjlInsertLayoutLogic,insertDocument,http://192.1.4.246:14000/FS/DOC/InsertDocument?action=SO,http://192.1.4.246:14000/FS,DOC,InsertDocumentSO
72,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Document.js']",DocjlInsertLayoutLogic,sumDebitCredit,,,,
