xmlPath,parentObject,widget,controller,event,jsPath,url,app,sg,so,matching
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_1', 'LinearLayout956_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_1_5,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_2_1', 'LinearLayout956_2_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_2_1,FI_1Q_TOPLogic,routeToClosing,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'common', 'routing.js']",,,,,Y
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']",[],MainFI_1Q_TOPLayout,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout354', 'PFSLayout', 'MainFI_1Q_TOPLayout']",LinearLayout501,FI_1Q_TOPLogic,routeToMainFS,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'common', 'routing.js']",,,,,Y
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237', 'LinearLayout956', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_18,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237', 'LinearLayout956', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_15,FI_1Q_TOPLogic,routeToProject,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'common', 'routing.js']",,,,,Y
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",LinearLayout956_2_1,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LeftBar', 'MainFI_1Q_TOPLayout']",LinearLayout200,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['PFSLayout', 'MainFI_1Q_TOPLayout']",LinearLayout354,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237', 'LinearLayout956', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_4,FI_1Q_TOPLogic,routeToCompany,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'common', 'routing.js']",,,,,Y
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237', 'LinearLayout956', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_8,FI_1Q_TOPLogic,routeToPIS,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'common', 'routing.js']",,,,,Y
