1,xmlPath,parentWidget,widgetID,controllerId,eventId,jsPath,url,app,sg,so
27,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widgetf5e92406b30c38dcaeb182802bdb58a4', 'Widget786891b6275932fe832d3ce735536430', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widget2cae0a4a379e3d6eac7d3aa7a9e285e5,DocCopyLayoutLogic,,[],,,,
28,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widgetf5e92406b30c38dcaeb182802bdb58a4', 'Widget786891b6275932fe832d3ce735536430', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widgete954dd89950e3fa4889f86b170497895,DocCopyLayoutLogic,,[],,,,
29,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widgetf5e92406b30c38dcaeb182802bdb58a4', 'Widget786891b6275932fe832d3ce735536430', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widgete2ff2574bcde3f3f806a8f5a0fd802d6,DocCopyLayoutLogic,,[],,,,
30,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widgetf5e92406b30c38dcaeb182802bdb58a4', 'Widget786891b6275932fe832d3ce735536430', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widget84916b1f250234dd9be3ef2a2a10c88c,DocCopyLayoutLogic,,[],,,,
31,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widgetf5e92406b30c38dcaeb182802bdb58a4', 'Widget786891b6275932fe832d3ce735536430', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widgete27e6bebc2f53cfba22f61a254f978b5,DocCopyLayoutLogic,,[],,,,
32,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widgetf5e92406b30c38dcaeb182802bdb58a4', 'Widget786891b6275932fe832d3ce735536430', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widgete27e6bebc2f53cfba22f61a25f978b5,DocCopyLayoutLogic,,[],,,,
33,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widgetf5e92406b30c38dcaeb182802bdb58a4', 'Widget786891b6275932fe832d3ce735536430', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widgete27e6bebc2f53cfa22f61a254f978b5,DocCopyLayoutLogic,,[],,,,
34,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widget536e8530a7ef3fe5a12255ef7aaf9d50,DocCopyLayoutLogic,,[],,,,
35,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget536e8530a7ef3fe5a12255ef7aaf9d50', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widgetfafc7f48bc730f1abe709daa83ad842,DocCopyLayoutLogic,,[],,,,
36,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget536e8530a7ef3fe5a12255ef7aaf9d50', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widgetfafc7f484bc730f1abe709daa83ad842,DocCopyLayoutLogic,,[],,,,
